Country,Capital City,Latitude,Longitude,Population,Capital Type
瓜德罗普,巴斯特尔,15.9985,-61.7255,58397,Capital
关岛,阿加尼亚,13.4757,144.7489,146905,Capital
危地马拉,危地马拉城,14.6127,-90.5307,2851104,Capital
几内亚,科纳克里,9.5716,-13.6476,1843121,Capital
几内亚比绍,比绍,11.8636,-15.5977,558399,Capital
圭亚那,乔治敦,6.8045,-58.1553,109934,Capital
海地,太子港,18.5392,-72.3350,2636763,Capital
梵蒂冈,梵蒂冈城,41.9024,12.4533,801,Capital
洪都拉斯,特古西加尔巴,14.0818,-87.2068,1363041,Capital
匈牙利,布达佩斯,47.4980,19.0399,1759497,Capital
冰岛,雷克雅未克,64.1355,-21.8954,216364,Capital
印度,德里,28.6667,77.2167,28513682,Capital
印度尼西亚,雅加达,-6.2118,106.8416,10516927,Capital
伊朗,德黑兰,35.6944,51.4215,8895947,Capital
伊拉克,巴格达,33.3406,44.4009,6811955,Capital
爱尔兰,都柏林,53.3331,-6.2489,1201426,Capital
马恩岛,道格拉斯,54.1500,-4.4833,27171,Capital
以色列,耶路撒冷,31.7690,35.2163,907062,Capital
意大利,罗马,41.8947,12.4811,4209710,Capital
牙买加,金斯敦,17.9970,-76.7936,589083,Capital
日本,东京,35.6895,139.6917,37468302,Capital
约旦,安曼,31.9552,35.9450,2064582,Capital
哈萨克斯坦,努尔苏丹,51.1801,71.4460,1068113,Capital
肯尼亚,内罗毕,-1.2833,36.8167,4385853,Capital
基里巴斯,塔拉瓦,1.3272,172.9813,64011,Capital
科威特,科威特城,29.3697,47.9783,2989270,Capital
吉尔吉斯斯坦,比什凯克,42.8700,74.5900,996319,Capital
老挝,万象,17.9667,102.6000,664754,Capital
拉脱维亚,里加,56.9460,24.1059,637089,Capital
黎巴嫩,贝鲁特,33.9000,35.4833,2385271,Capital
莱索托,马塞卢,-29.3167,27.4833,201851,Capital
利比里亚,蒙罗维亚,6.3005,-10.7969,1418300,Capital
利比亚,的黎波里,32.8752,13.1875,1157746,Capital
列支敦士登,瓦杜兹,47.1415,9.5215,5470,Capital
立陶宛,维尔纽斯,54.6892,25.2798,536055,Capital
卢森堡,卢森堡市,49.6117,6.1300,119752,Capital
马达加斯加,塔那那利佛,-18.9137,47.5361,3058387,Capital
马拉维,利隆圭,-13.9669,33.7873,1029639,Capital
马来西亚,吉隆坡,3.1412,101.6865,7563912,Capital
马尔代夫,马累,4.1748,73.5089,176851,Capital
马里,巴马科,12.6500,-8.0000,2446749,Capital
马耳他,瓦莱塔,35.8997,14.5147,212768,Capital
马绍尔群岛,马朱罗,7.0897,171.3803,30661,Capital
马提尼克,法兰西堡,14.6089,-61.0733,79361,Capital
毛里塔尼亚,努瓦克肖特,18.0858,-15.9785,1205414,Capital
毛里求斯,路易港,-20.1619,57.4989,149365,Capital
马约特,马穆楚,-12.7794,45.2272,6180,Capital
墨西哥,墨西哥城,19.4273,-99.1419,21580827,Capital
密克罗尼西亚联邦,帕利基尔,6.9174,158.1588,6996,Capital
摩纳哥,摩纳哥,43.7333,7.4167,38897,Capital
